datetime,symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
2026-03-12 08:00:00,BTCUSDT,81843.55800000,5712100632.68671500,20000978.00000000,1773302400000
2026-03-12 08:05:00,BTCUSDT,81824.56900000,5715020656.89120000,20000978.00000000,1773302700000
2026-03-12 08:10:00,BTCUSDT,81792.20400000,5701538239.55040000,20000978.00000000,1773303000000
2026-03-12 08:15:00,BTCUSDT,81747.53200000,5700288105.37280000,20000978.00000000,1773303300000
2026-03-12 08:20:00,BTCUSDT,81950.02200000,5735026439.60400000,20000978.00000000,1773303600000
2026-03-12 08:25:00,BTCUSDT,81918.25400000,5726020419.99680000,20000978.00000000,1773303900000
2026-03-12 08:30:00,BTCUSDT,82014.84100000,5722397170.61783800,20000978.00000000,1773304200000
2026-03-12 08:35:00,BTCUSDT,82129.22300000,5730049120.72010000,20000978.00000000,1773304500000
2026-03-12 08:40:00,BTCUSDT,82176.16600000,5734559016.74091800,20000978.00000000,1773304800000
2026-03-12 08:45:00,BTCUSDT,82081.15800000,5728600599.71426300,20000978.00000000,1773305100000
2026-03-12 08:50:00,BTCUSDT,81987.73900000,5723574043.67643300,20000978.00000000,1773305400000
2026-03-12 08:55:00,BTCUSDT,82059.51000000,5731438269.99900000,20000978.00000000,1773305700000
2026-03-12 09:00:00,BTCUSDT,82146.13300000,5739156011.27160000,20000978.00000000,1773306000000
2026-03-12 09:05:00,BTCUSDT,82103.26400000,5735044773.87284800,20000978.00000000,1773306300000
2026-03-12 09:10:00,BTCUSDT,82092.60100000,5726402219.79540000,20000978.00000000,1773306600000
2026-03-12 09:15:00,BTCUSDT,82116.62100000,5726057675.62680000,20000978.00000000,1773306900000
2026-03-12 09:20:00,BTCUSDT,82015.04900000,5708997972.30932100,20000978.00000000,1773307200000
2026-03-12 09:25:00,BTCUSDT,82060.43300000,5714908103.83544200,20000978.00000000,1773307500000
2026-03-12 09:30:00,BTCUSDT,82052.95700000,5715037686.82420000,20000978.00000000,1773307800000
2026-03-12 09:35:00,BTCUSDT,82049.55400000,5722349224.80040000,20000978.00000000,1773308100000
2026-03-12 09:40:00,BTCUSDT,82116.70600000,5733798996.45000000,20000978.00000000,1773308400000
2026-03-12 09:45:00,BTCUSDT,81796.57900000,5746001316.33978100,20000978.00000000,1773308700000
2026-03-12 09:50:00,BTCUSDT,81019.30900000,5663241597.16910000,20000978.00000000,1773309000000
2026-03-12 09:55:00,BTCUSDT,81048.80300000,5668042674.36110000,20000978.00000000,1773309300000
2026-03-12 10:00:00,BTCUSDT,81079.42300000,5668900934.77209500,20000978.00000000,1773309600000
2026-03-12 10:05:00,BTCUSDT,81278.78100000,5685353196.41280000,20000978.00000000,1773309900000
2026-03-12 10:10:00,BTCUSDT,81192.85500000,5671345279.60650000,20000978.00000000,1773310200000
2026-03-12 10:15:00,BTCUSDT,81190.25000000,5677893991.30000000,20000978.00000000,1773310500000
2026-03-12 10:20:00,BTCUSDT,81217.37600000,5684992848.62427000,20000978.00000000,1773310800000
2026-03-12 10:25:00,BTCUSDT,81275.90800000,5695212037.69848800,20000978.00000000,1773311100000
2026-03-12 10:30:00,BTCUSDT,81302.27100000,5700102219.81000000,20000978.00000000,1773311400000
2026-03-12 10:35:00,BTCUSDT,81368.14100000,5713426756.59700000,20000978.00000000,1773311700000
2026-03-12 10:40:00,BTCUSDT,81440.56900000,5728982303.78071500,20000978.00000000,1773312000000
2026-03-12 10:45:00,BTCUSDT,81336.43600000,5721395640.41416550,20000978.00000000,1773312300000
